rule,layer,roi,subject,seed_idx,epoch,rho,pval
Backprop,FC1,IT,sub-03,0,1,0.002055,0.295813
Backprop,Conv1,V1,sub-01,0,2,0.009803,1e-06
Backprop,Conv1,V1,sub-02,0,2,0.032287,0.0
Backprop,Conv1,V1,sub-03,0,2,0.005307,0.006938
Backprop,Conv1,V2,sub-01,0,2,0.004638,0.018284
Backprop,Conv1,V2,sub-02,0,2,0.019242,0.0
Backprop,Conv1,V2,sub-03,0,2,0.001255,0.523071
Backprop,Conv1,V3,sub-01,0,2,0.007623,0.000105
Backprop,Conv1,V3,sub-02,0,2,0.018503,0.0
Backprop,Conv1,V3,sub-03,0,2,0.000878,0.65506
Backprop,Conv1,V4,sub-01,0,2,-6.9e-05,0.972074
Backprop,Conv1,V4,sub-02,0,2,0.0131,0.0
Backprop,Conv1,V4,sub-03,0,2,0.004423,0.024436
Backprop,Conv1,LOC,sub-01,0,2,0.004676,0.017368
Backprop,Conv1,LOC,sub-02,0,2,0.006877,0.000467
Backprop,Conv1,LOC,sub-03,0,2,0.000353,0.857455
Backprop,Conv1,IT,sub-01,0,2,0.005915,0.00262
Backprop,Conv1,IT,sub-02,0,2,0.007429,0.000157
Backprop,Conv1,IT,sub-03,0,2,0.002165,0.270626
Backprop,Conv2,V1,sub-01,0,2,-0.000327,0.867855
Backprop,Conv2,V1,sub-02,0,2,0.000851,0.664911
Backprop,Conv2,V1,sub-03,0,2,0.006816,0.000525
Backprop,Conv2,V2,sub-01,0,2,0.003329,0.090318
Backprop,Conv2,V2,sub-02,0,2,-0.002433,0.215693
Backprop,Conv2,V2,sub-03,0,2,0.003237,0.09958
Backprop,Conv2,V3,sub-01,0,2,0.005633,0.004157
Backprop,Conv2,V3,sub-02,0,2,-0.003236,0.09964
Backprop,Conv2,V3,sub-03,0,2,0.003781,0.054376
Backprop,Conv2,V4,sub-01,0,2,-0.002609,0.18446
Backprop,Conv2,V4,sub-02,0,2,-0.000289,0.883281
Backprop,Conv2,V4,sub-03,0,2,0.010238,0.0
Backprop,Conv2,LOC,sub-01,0,2,0.005918,0.002604
Backprop,Conv2,LOC,sub-02,0,2,0.007059,0.000329
Backprop,Conv2,LOC,sub-03,0,2,0.000711,0.717595
Backprop,Conv2,IT,sub-01,0,2,0.007811,7.1e-05
Backprop,Conv2,IT,sub-02,0,2,0.005193,0.008238
Backprop,Conv2,IT,sub-03,0,2,0.000697,0.722717
Backprop,Conv3,V1,sub-01,0,2,-0.014084,0.0
Backprop,Conv3,V1,sub-02,0,2,-0.022154,0.0
Backprop,Conv3,V1,sub-03,0,2,0.005143,0.008885
Backprop,Conv3,V2,sub-01,0,2,-0.003855,0.049825
Backprop,Conv3,V2,sub-02,0,2,-0.016002,0.0
Backprop,Conv3,V2,sub-03,0,2,0.002354,0.231161
Backprop,Conv3,V3,sub-01,0,2,-0.00125,0.524788
Backprop,Conv3,V3,sub-02,0,2,-0.015111,0.0
Backprop,Conv3,V3,sub-03,0,2,0.003077,0.117427
Backprop,Conv3,V4,sub-01,0,2,-0.006239,0.001504
Backprop,Conv3,V4,sub-02,0,2,-0.005467,0.00541
Backprop,Conv3,V4,sub-03,0,2,0.010459,0.0
Backprop,Conv3,LOC,sub-01,0,2,0.003914,0.046475
Backprop,Conv3,LOC,sub-02,0,2,0.007732,8.4e-05
Backprop,Conv3,LOC,sub-03,0,2,0.002193,0.26447
Backprop,Conv3,IT,sub-01,0,2,0.005342,0.00657
Backprop,Conv3,IT,sub-02,0,2,0.003589,0.067865
Backprop,Conv3,IT,sub-03,0,2,0.00204,0.299233
Backprop,FC1,V1,sub-01,0,2,-0.003825,0.051661
Backprop,FC1,V1,sub-02,0,2,-0.009409,2e-06
Backprop,FC1,V1,sub-03,0,2,0.008201,3e-05
Backprop,FC1,V2,sub-01,0,2,0.0043,0.028677
Backprop,FC1,V2,sub-02,0,2,-0.003847,0.05032
Backprop,FC1,V2,sub-03,0,2,0.003239,0.099342
Backprop,FC1,V3,sub-01,0,2,0.002433,0.215752
